id,run_name,question,ground_truth,bot_answer,retrieved_chunks,latency_ms,score_retrieval_quality,score_llm_faithfulness,score_answer_relevance,error_type
Q_0,quality_baseline_scores,I need to find information about taking time off from work. Which section of the employee handbook should I refer to?,"You should refer to section 3, ""Leave Policies,"" to find information regarding time off from work.","I don't know the answer based on the provided context. The context only states your question about finding information on taking time off and which section of the employee handbook to refer to, but it does not contain the answer itself.",[],2028.52,,,,
Q_1,quality_baseline_scores,What is the core mission statement of FinSolve Technologies?,"FinSolve Technologies' mission is to deliver high-quality, sustainable products and services that create value for our stakeholders.","I don't know the answer based on the provided context. The context only contains the question itself, not information about FinSolve Technologies' mission statement.",[],1697.78,,,,
Q_2,quality_baseline_scores,Could you list all our core values and describe what 'Respect' means in our company?,"Our core values are Integrity, Respect, Innovation, Customer Focus, and Accountability. Respect means we value diversity and treat everyone with dignity.","I don't know the answer to FinSolve Technologies' core values or the specific meaning of 'Respect' within the company, as the provided context is a question asking for this information, not a statement containing it.",[],2117.27,,,,
Q_3,quality_baseline_scores,What are the core commitments and values that FinSolve Technologies emphasizes?,"FinSolve Technologies is committed to ethical business practices, social responsibility, and fostering a culture of learning and growth.","I don't know the answer based on the provided context. The context provided is the question itself, not the information needed to answer it.",[],1561.67,,,,
Q_4,quality_baseline_scores,When did Aadhya Patel join the company and what is her current performance rating?,Aadhya Patel joined the company on 2018-11-20 and her current performance rating is 3.,I don't know. The provided context is the question itself and does not contain the answer regarding Aadhya Patel's joining date or performance rating.,[],1945.51,,,,
Q_5,quality_baseline_scores,What is Isha Chowdhury's current role and how many leaves does she have remaining?,Isha Chowdhury's current role is Credit Officer and she has 8 leaves remaining.,"I don't know, as the provided context is a question about Isha Chowdhury's role and remaining leaves, not the answer itself.",[],1852.49,,,,
Q_6,quality_baseline_scores,What is Sakshi Malhotra's current leave balance and performance rating?,Sakshi Malhotra currently has a leave balance of 21 days and her performance rating is 2.,"I don't know Sakshi Malhotra's current leave balance and performance rating based on the provided context. The context only states the question, not the answer.",[],2043.15,,,,
Q_7,quality_baseline_scores,What is Krishna Malhotra's performance rating and their last review date?,"Krishna Malhotra has a performance rating of 1, and their last review date was 2024-07-24.",I don't know. The provided context is the question itself and does not contain the answer regarding Krishna Malhotra's performance rating or last review date.,[],1855.53,,,,
Q_8,quality_baseline_scores,"What are Aadhya Saxena's professional details including her role, department, and current location?","Aadhya Saxena is a Marketing Manager in the Marketing department, located in Lucknow.","I don't know Aadhya Saxena's professional details, including her role, department, and current location, based on the provided context. The context only states the question, not the answer.",[],2097.8,,,,
Q_9,quality_baseline_scores,What is Shaurya Joshi's current leave status and their recent performance review information?,"Shaurya Joshi has a current leave balance of 4 days and has taken 4 leaves. Their last performance review was on 2024-09-15, where they received a performance rating of 2. Their attendance percentage is 82.77%.","I don't know, as the provided context only contains the question and no information regarding Shaurya Joshi's leave status or performance review.",[],1883.91,,,,
