question,ground_truth,source
I need to find information about taking time off from work. Which section of the employee handbook should I refer to?,"You should refer to section 3, ""Leave Policies,"" to find information regarding time off from work.",employee_handbook.md
What is the core mission statement of FinSolve Technologies?,"FinSolve Technologies' mission is to deliver high-quality, sustainable products and services that create value for our stakeholders.",employee_handbook.md
Could you list all our core values and describe what 'Respect' means in our company?,"Our core values are Integrity, Respect, Innovation, Customer Focus, and Accountability. Respect means we value diversity and treat everyone with dignity.",employee_handbook.md
What are the core commitments and values that FinSolve Technologies emphasizes?,"FinSolve Technologies is committed to ethical business practices, social responsibility, and fostering a culture of learning and growth.",employee_handbook.md
When did Aadhya Patel join the company and what is her current performance rating?,Aadhya Patel joined the company on 2018-11-20 and her current performance rating is 3.,hr_data.csv
What is Isha Chowdhury's current role and how many leaves does she have remaining?,Isha Chowdhury's current role is Credit Officer and she has 8 leaves remaining.,hr_data.csv
What is Sakshi Malhotra's current leave balance and performance rating?,Sakshi Malhotra currently has a leave balance of 21 days and her performance rating is 2.,hr_data.csv
What is Krishna Malhotra's performance rating and their last review date?,"Krishna Malhotra has a performance rating of 1, and their last review date was 2024-07-24.",hr_data.csv
"What are Aadhya Saxena's professional details including her role, department, and current location?","Aadhya Saxena is a Marketing Manager in the Marketing department, located in Lucknow.",hr_data.csv
What is Shaurya Joshi's current leave status and their recent performance review information?,"Shaurya Joshi has a current leave balance of 4 days and has taken 4 leaves. Their last performance review was on 2024-09-15, where they received a performance rating of 2. Their attendance percentage is 82.77%.",hr_data.csv
What is Sara Sharma's current leave balance and how many leaves has she taken?,Sara Sharma has a leave balance of 11 days and has taken 10 leaves.,hr_data.csv
Could you provide Prisha Mehta's current salary and her available leave balance?,"Prisha Mehta's current salary is 1,149,019.58 and her available leave balance is 11 days.",hr_data.csv
Can you provide a summary of Aadhya Chowdhury's key employment and performance details?,"Aadhya Chowdhury (employee ID: FINEMP1008) works as Customer Support in the Operations department, located in Mumbai. She joined on February 12, 2019, and her manager's ID is FINEMP1007. Her current leave balance is 7, having taken 5 leaves, with an attendance percentage of 96.92%. She achieved a performance rating of 5 during her last review on August 7, 2024.",hr_data.csv
